name,org_id,metric,score
Blue Path 1,O01,Completeness,95
Blue Path 1,O01,Effectiveness/Impact,84
Blue Path 1,O01,Satisfaction,73
Blue Path 1,O01,Transparency & Accountability,80
Blue Path 1,O01,Cost-effectiveness,56
Green Hearts 2,O02,Completeness,80
Green Hearts 2,O02,Effectiveness/Impact,76
Green Hearts 2,O02,Satisfaction,79
Green Hearts 2,O02,Transparency & Accountability,95
Green Hearts 2,O02,Cost-effectiveness,73
Spark Support 3,O03,Completeness,74
Spark Support 3,O03,Effectiveness/Impact,84
Spark Support 3,O03,Satisfaction,66
Spark Support 3,O03,Transparency & Accountability,90
Spark Support 3,O03,Cost-effectiveness,77
Open Path 4,O04,Completeness,63
Open Path 4,O04,Effectiveness/Impact,89
Open Path 4,O04,Satisfaction,76
Open Path 4,O04,Transparency & Accountability,55
Open Path 4,O04,Cost-effectiveness,94
Clear Roots 5,O05,Completeness,82
Clear Roots 5,O05,Effectiveness/Impact,61
Clear Roots 5,O05,Satisfaction,76
Clear Roots 5,O05,Transparency & Accountability,57
Clear Roots 5,O05,Cost-effectiveness,88
Care Minds 6,O06,Completeness,73
Care Minds 6,O06,Effectiveness/Impact,99
Care Minds 6,O06,Satisfaction,65
Care Minds 6,O06,Transparency & Accountability,81
Care Minds 6,O06,Cost-effectiveness,95
East Path 7,O07,Completeness,72
East Path 7,O07,Effectiveness/Impact,74
East Path 7,O07,Satisfaction,57
East Path 7,O07,Transparency & Accountability,91
East Path 7,O07,Cost-effectiveness,93
Spark Scholars 8,O08,Completeness,79
Spark Scholars 8,O08,Effectiveness/Impact,94
Spark Scholars 8,O08,Satisfaction,99
Spark Scholars 8,O08,Transparency & Accountability,59
Spark Scholars 8,O08,Cost-effectiveness,88
Kind Action 9,O09,Completeness,79
Kind Action 9,O09,Effectiveness/Impact,62
Kind Action 9,O09,Satisfaction,66
Kind Action 9,O09,Transparency & Accountability,72
Kind Action 9,O09,Cost-effectiveness,78
Echo Minds 10,O10,Completeness,84
Echo Minds 10,O10,Effectiveness/Impact,70
Echo Minds 10,O10,Satisfaction,81
Echo Minds 10,O10,Transparency & Accountability,54
Echo Minds 10,O10,Cost-effectiveness,74
Prime Aid 11,O11,Completeness,82
Prime Aid 11,O11,Effectiveness/Impact,94
Prime Aid 11,O11,Satisfaction,70
Prime Aid 11,O11,Transparency & Accountability,80
Prime Aid 11,O11,Cost-effectiveness,85
South Action 12,O12,Completeness,100
South Action 12,O12,Effectiveness/Impact,68
South Action 12,O12,Satisfaction,89
South Action 12,O12,Transparency & Accountability,78
South Action 12,O12,Cost-effectiveness,68
East Roots 13,O13,Completeness,83
East Roots 13,O13,Effectiveness/Impact,72
East Roots 13,O13,Satisfaction,81
East Roots 13,O13,Transparency & Accountability,79
East Roots 13,O13,Cost-effectiveness,90
Bridge Earth 14,O14,Completeness,78
Bridge Earth 14,O14,Effectiveness/Impact,91
Bridge Earth 14,O14,Satisfaction,71
Bridge Earth 14,O14,Transparency & Accountability,62
Bridge Earth 14,O14,Cost-effectiveness,84
Bridge Access 15,O15,Completeness,72
Bridge Access 15,O15,Effectiveness/Impact,98
Bridge Access 15,O15,Satisfaction,73
Bridge Access 15,O15,Transparency & Accountability,76
Bridge Access 15,O15,Cost-effectiveness,78
Green Partners 16,O16,Completeness,85
Green Partners 16,O16,Effectiveness/Impact,83
Green Partners 16,O16,Satisfaction,73
Green Partners 16,O16,Transparency & Accountability,98
Green Partners 16,O16,Cost-effectiveness,70
North Trust 17,O17,Completeness,67
North Trust 17,O17,Effectiveness/Impact,87
North Trust 17,O17,Satisfaction,79
North Trust 17,O17,Transparency & Accountability,98
North Trust 17,O17,Cost-effectiveness,69
Echo Network 18,O18,Completeness,68
Echo Network 18,O18,Effectiveness/Impact,60
Echo Network 18,O18,Satisfaction,80
Echo Network 18,O18,Transparency & Accountability,79
Echo Network 18,O18,Cost-effectiveness,76
