name,state,lat,lon,org_id,city,latitude,longitude,field,project_count
Blue Path 1,QLD,-27.4698,153.0251,O01,Brisbane,-27.4698,153.0251,Environment,4
Blue Path 1,QLD,-27.4698,153.0251,O01,Gold Coast,-28.0167,153.4,Environment,2
Blue Path 1,QLD,-27.4698,153.0251,O01,Cairns,-16.9186,145.7781,Environment,1
Blue Path 1,QLD,-27.4698,153.0251,O01,Brisbane,-27.4698,153.0251,Health,3
Blue Path 1,QLD,-27.4698,153.0251,O01,Gold Coast,-28.0167,153.4,Health,2
Blue Path 1,QLD,-27.4698,153.0251,O01,Cairns,-16.9186,145.7781,Health,1
Blue Path 1,QLD,-27.4698,153.0251,O01,Brisbane,-27.4698,153.0251,Law,5
Blue Path 1,QLD,-27.4698,153.0251,O01,Gold Coast,-28.0167,153.4,Law,2
Blue Path 1,QLD,-27.4698,153.0251,O01,Cairns,-16.9186,145.7781,Law,1
Blue Path 1,QLD,-27.4698,153.0251,O01,Brisbane,-27.4698,153.0251,Community,3
Blue Path 1,QLD,-27.4698,153.0251,O01,Gold Coast,-28.0167,153.4,Community,1
Blue Path 1,QLD,-27.4698,153.0251,O01,Cairns,-16.9186,145.7781,Community,1
Blue Path 1,NSW,-33.8688,151.2093,O01,Sydney,-33.8688,151.2093,Environment,3
Blue Path 1,NSW,-33.8688,151.2093,O01,Newcastle,-32.9283,151.7817,Environment,1
Blue Path 1,NSW,-33.8688,151.2093,O01,Wollongong,-34.4278,150.8931,Environment,1
Blue Path 1,NSW,-33.8688,151.2093,O01,Sydney,-33.8688,151.2093,Health,4
Blue Path 1,NSW,-33.8688,151.2093,O01,Newcastle,-32.9283,151.7817,Health,1
Blue Path 1,NSW,-33.8688,151.2093,O01,Wollongong,-34.4278,150.8931,Health,1
Blue Path 1,NSW,-33.8688,151.2093,O01,Sydney,-33.8688,151.2093,Education,4
Blue Path 1,NSW,-33.8688,151.2093,O01,Newcastle,-32.9283,151.7817,Education,1
Blue Path 1,NSW,-33.8688,151.2093,O01,Wollongong,-34.4278,150.8931,Education,1
Blue Path 1,NSW,-33.8688,151.2093,O01,Sydney,-33.8688,151.2093,Law,6
Blue Path 1,NSW,-33.8688,151.2093,O01,Newcastle,-32.9283,151.7817,Law,1
Blue Path 1,NSW,-33.8688,151.2093,O01,Wollongong,-34.4278,150.8931,Law,1
Blue Path 1,TAS,-42.8821,147.3272,O01,Hobart,-42.8821,147.3272,Environment,2
Blue Path 1,TAS,-42.8821,147.3272,O01,Launceston,-41.4332,147.1441,Environment,1
Blue Path 1,TAS,-42.8821,147.3272,O01,Devonport,-41.1806,146.35,Environment,1
Blue Path 1,TAS,-42.8821,147.3272,O01,Hobart,-42.8821,147.3272,Health,3
Blue Path 1,TAS,-42.8821,147.3272,O01,Launceston,-41.4332,147.1441,Health,2
Blue Path 1,TAS,-42.8821,147.3272,O01,Devonport,-41.1806,146.35,Health,1
Blue Path 1,TAS,-42.8821,147.3272,O01,Hobart,-42.8821,147.3272,Education,6
Blue Path 1,TAS,-42.8821,147.3272,O01,Launceston,-41.4332,147.1441,Education,3
Blue Path 1,TAS,-42.8821,147.3272,O01,Devonport,-41.1806,146.35,Education,2
Blue Path 1,TAS,-42.8821,147.3272,O01,Hobart,-42.8821,147.3272,Community,6
Blue Path 1,TAS,-42.8821,147.3272,O01,Launceston,-41.4332,147.1441,Community,3
Blue Path 1,TAS,-42.8821,147.3272,O01,Devonport,-41.1806,146.35,Community,2
Blue Path 1,SA,-34.9285,138.6007,O01,Adelaide,-34.9285,138.6007,Environment,10
Blue Path 1,SA,-34.9285,138.6007,O01,Mount Gambier,-37.8318,140.7792,Environment,1
Blue Path 1,SA,-34.9285,138.6007,O01,Whyalla,-33.0333,137.5667,Environment,1
Blue Path 1,SA,-34.9285,138.6007,O01,Adelaide,-34.9285,138.6007,Health,4
Blue Path 1,SA,-34.9285,138.6007,O01,Mount Gambier,-37.8318,140.7792,Health,1
Blue Path 1,SA,-34.9285,138.6007,O01,Whyalla,-33.0333,137.5667,Health,1
Blue Path 1,SA,-34.9285,138.6007,O01,Adelaide,-34.9285,138.6007,Education,4
Blue Path 1,SA,-34.9285,138.6007,O01,Mount Gambier,-37.8318,140.7792,Education,1
Blue Path 1,SA,-34.9285,138.6007,O01,Whyalla,-33.0333,137.5667,Education,1
Blue Path 1,SA,-34.9285,138.6007,O01,Adelaide,-34.9285,138.6007,Law,4
Blue Path 1,SA,-34.9285,138.6007,O01,Mount Gambier,-37.8318,140.7792,Law,1
Blue Path 1,SA,-34.9285,138.6007,O01,Whyalla,-33.0333,137.5667,Law,1
Blue Path 1,SA,-34.9285,138.6007,O01,Adelaide,-34.9285,138.6007,Community,5
Blue Path 1,SA,-34.9285,138.6007,O01,Mount Gambier,-37.8318,140.7792,Community,1
Blue Path 1,SA,-34.9285,138.6007,O01,Whyalla,-33.0333,137.5667,Community,1
Blue Path 1,ACT,-35.2809,149.13,O01,Canberra,-35.2809,149.13,Environment,3
Blue Path 1,ACT,-35.2809,149.13,O01,Canberra,-35.2809,149.13,Health,4
Blue Path 1,ACT,-35.2809,149.13,O01,Canberra,-35.2809,149.13,Education,7
Blue Path 1,ACT,-35.2809,149.13,O01,Canberra,-35.2809,149.13,Law,7
Blue Path 1,ACT,-35.2809,149.13,O01,Canberra,-35.2809,149.13,Community,3
Blue Path 1,NT,-12.4634,130.8456,O01,Darwin,-12.4634,130.8456,Health,3
Blue Path 1,NT,-12.4634,130.8456,O01,Alice Springs,-23.698,133.8807,Health,1
Blue Path 1,NT,-12.4634,130.8456,O01,Darwin,-12.4634,130.8456,Education,4
Blue Path 1,NT,-12.4634,130.8456,O01,Alice Springs,-23.698,133.8807,Education,1
Blue Path 1,NT,-12.4634,130.8456,O01,Darwin,-12.4634,130.8456,Law,6
Blue Path 1,NT,-12.4634,130.8456,O01,Alice Springs,-23.698,133.8807,Law,2
Blue Path 1,NT,-12.4634,130.8456,O01,Darwin,-12.4634,130.8456,Community,2
Blue Path 1,NT,-12.4634,130.8456,O01,Alice Springs,-23.698,133.8807,Community,1
Blue Path 1,WA,-31.9505,115.8605,O01,Perth,-31.9505,115.8605,Environment,4
Blue Path 1,WA,-31.9505,115.8605,O01,Fremantle,-32.0569,115.7439,Environment,1
Blue Path 1,WA,-31.9505,115.8605,O01,Bunbury,-33.3271,115.6414,Environment,1
Blue Path 1,WA,-31.9505,115.8605,O01,Perth,-31.9505,115.8605,Health,5
Blue Path 1,WA,-31.9505,115.8605,O01,Fremantle,-32.0569,115.7439,Health,1
Blue Path 1,WA,-31.9505,115.8605,O01,Bunbury,-33.3271,115.6414,Health,1
Blue Path 1,WA,-31.9505,115.8605,O01,Perth,-31.9505,115.8605,Education,6
Blue Path 1,WA,-31.9505,115.8605,O01,Fremantle,-32.0569,115.7439,Education,1
Blue Path 1,WA,-31.9505,115.8605,O01,Bunbury,-33.3271,115.6414,Education,1
Blue Path 1,WA,-31.9505,115.8605,O01,Perth,-31.9505,115.8605,Law,6
Blue Path 1,WA,-31.9505,115.8605,O01,Fremantle,-32.0569,115.7439,Law,1
Blue Path 1,WA,-31.9505,115.8605,O01,Bunbury,-33.3271,115.6414,Law,1
Blue Path 1,WA,-31.9505,115.8605,O01,Perth,-31.9505,115.8605,Community,5
Blue Path 1,WA,-31.9505,115.8605,O01,Fremantle,-32.0569,115.7439,Community,1
Blue Path 1,WA,-31.9505,115.8605,O01,Bunbury,-33.3271,115.6414,Community,1
Green Hearts 2,QLD,-27.4698,153.0251,O02,Brisbane,-27.4698,153.0251,Environment,4
Green Hearts 2,QLD,-27.4698,153.0251,O02,Gold Coast,-28.0167,153.4,Environment,2
Green Hearts 2,QLD,-27.4698,153.0251,O02,Cairns,-16.9186,145.7781,Environment,1
Green Hearts 2,QLD,-27.4698,153.0251,O02,Brisbane,-27.4698,153.0251,Health,5
Green Hearts 2,QLD,-27.4698,153.0251,O02,Gold Coast,-28.0167,153.4,Health,2
Green Hearts 2,QLD,-27.4698,153.0251,O02,Cairns,-16.9186,145.7781,Health,1
Green Hearts 2,QLD,-27.4698,153.0251,O02,Brisbane,-27.4698,153.0251,Education,2
Green Hearts 2,QLD,-27.4698,153.0251,O02,Gold Coast,-28.0167,153.4,Education,1
Green Hearts 2,QLD,-27.4698,153.0251,O02,Cairns,-16.9186,145.7781,Education,1
Green Hearts 2,QLD,-27.4698,153.0251,O02,Brisbane,-27.4698,153.0251,Law,5
Green Hearts 2,QLD,-27.4698,153.0251,O02,Gold Coast,-28.0167,153.4,Law,2
Green Hearts 2,QLD,-27.4698,153.0251,O02,Cairns,-16.9186,145.7781,Law,1
Green Hearts 2,QLD,-27.4698,153.0251,O02,Brisbane,-27.4698,153.0251,Community,3
Green Hearts 2,QLD,-27.4698,153.0251,O02,Gold Coast,-28.0167,153.4,Community,1
Green Hearts 2,QLD,-27.4698,153.0251,O02,Cairns,-16.9186,145.7781,Community,1
Green Hearts 2,VIC,-37.8136,144.9631,O02,Melbourne,-37.8136,144.9631,Environment,3
Green Hearts 2,VIC,-37.8136,144.9631,O02,Geelong,-38.1499,144.3617,Environment,1
Green Hearts 2,VIC,-37.8136,144.9631,O02,Ballarat,-37.5622,143.8503,Environment,1
Green Hearts 2,VIC,-37.8136,144.9631,O02,Melbourne,-37.8136,144.9631,Health,5
Green Hearts 2,VIC,-37.8136,144.9631,O02,Geelong,-38.1499,144.3617,Health,1
Green Hearts 2,VIC,-37.8136,144.9631,O02,Ballarat,-37.5622,143.8503,Health,1
Green Hearts 2,VIC,-37.8136,144.9631,O02,Melbourne,-37.8136,144.9631,Education,7
Green Hearts 2,VIC,-37.8136,144.9631,O02,Geelong,-38.1499,144.3617,Education,1
Green Hearts 2,VIC,-37.8136,144.9631,O02,Ballarat,-37.5622,143.8503,Education,1
Green Hearts 2,VIC,-37.8136,144.9631,O02,Melbourne,-37.8136,144.9631,Law,5
Green Hearts 2,VIC,-37.8136,144.9631,O02,Geelong,-38.1499,144.3617,Law,1
Green Hearts 2,VIC,-37.8136,144.9631,O02,Ballarat,-37.5622,143.8503,Law,1
Green Hearts 2,VIC,-37.8136,144.9631,O02,Melbourne,-37.8136,144.9631,Community,5
Green Hearts 2,VIC,-37.8136,144.9631,O02,Geelong,-38.1499,144.3617,Community,1
Green Hearts 2,VIC,-37.8136,144.9631,O02,Ballarat,-37.5622,143.8503,Community,1
Green Hearts 2,NT,-12.4634,130.8456,O02,Darwin,-12.4634,130.8456,Environment,3
Green Hearts 2,NT,-12.4634,130.8456,O02,Alice Springs,-23.698,133.8807,Environment,1
Green Hearts 2,NT,-12.4634,130.8456,O02,Darwin,-12.4634,130.8456,Health,4
Green Hearts 2,NT,-12.4634,130.8456,O02,Alice Springs,-23.698,133.8807,Health,1
Green Hearts 2,NT,-12.4634,130.8456,O02,Darwin,-12.4634,130.8456,Education,4
Green Hearts 2,NT,-12.4634,130.8456,O02,Alice Springs,-23.698,133.8807,Education,2
Green Hearts 2,NT,-12.4634,130.8456,O02,Darwin,-12.4634,130.8456,Law,4
Green Hearts 2,NT,-12.4634,130.8456,O02,Alice Springs,-23.698,133.8807,Law,1
Green Hearts 2,NT,-12.4634,130.8456,O02,Darwin,-12.4634,130.8456,Community,8
Green Hearts 2,NT,-12.4634,130.8456,O02,Alice Springs,-23.698,133.8807,Community,2
Green Hearts 2,SA,-34.9285,138.6007,O02,Adelaide,-34.9285,138.6007,Environment,5
Green Hearts 2,SA,-34.9285,138.6007,O02,Mount Gambier,-37.8318,140.7792,Environment,1
Green Hearts 2,SA,-34.9285,138.6007,O02,Whyalla,-33.0333,137.5667,Environment,1
Green Hearts 2,SA,-34.9285,138.6007,O02,Adelaide,-34.9285,138.6007,Health,4
Green Hearts 2,SA,-34.9285,138.6007,O02,Mount Gambier,-37.8318,140.7792,Health,1
Green Hearts 2,SA,-34.9285,138.6007,O02,Whyalla,-33.0333,137.5667,Health,1
Green Hearts 2,SA,-34.9285,138.6007,O02,Adelaide,-34.9285,138.6007,Education,4
Green Hearts 2,SA,-34.9285,138.6007,O02,Mount Gambier,-37.8318,140.7792,Education,1
